name,price,unit_price,description,availability,regular_price,discounted_price,discount_percent,discount_type,discount_period,category,market,last_updated
УРДА СВЕЖО,82,100 гр = 20.5,HOMOLJE УРДА 25%,Да,82,,,,,Останато,KAM,2025-04-18
ЈОГУРТ БУЧЕН,72,,,Да,72,,,,,Млеко и млечни производи,KAM,2025-04-18
ВАРЗИЛО ЗА ЈАЈЦА,18,,,Да,18,,,,,Останато,KAM,2025-04-18
КАШКАВАЛ КОЗЈИ,689,,,Да,689,,,,,Млеко и млечни производи,KAM,2025-04-18
ЈОГ. ОВОШ.,26,100 гр = 17.3,JEDEN TAG ОВОШЕН,Да,26,,,,,Останато,KAM,2025-04-18
ЈОГ.ОВОШ. ФРИШ.,37,100 гр = 14.8,JEDEN TAG ОВОШЕН,Да,37,,,,,Останато,KAM,2025-04-18
ОВОШЕН ЈОГУРТ,83,100 гр = 20.8,JOGOBELLA,Да,83,,,,,Млеко и млечни производи,KAM,2025-04-18
АЈС КАФЕ 0.5Л,57,,,Да,57,,,,,Пијалоци,KAM,2025-04-18
АЈС КАФЕ 0.25,50,,,Да,50,,,,,Пијалоци,KAM,2025-04-18
ОВОШЕН ЈОГУРТ,61,100 гр = 15.3,ZOTTIS МЛЕЧЕН,Да,61,,,,,Млеко и млечни производи,KAM,2025-04-18
ПАШТЕТА,32,100 гр = 33.7,PEKABESKO,Да,32,,,,,Останато,KAM,2025-04-18
ШУНКА ГОВЕДСКА,45,100 гр = 45.0,UKA ШУНКА,Да,45,,,,,Останато,KAM,2025-04-18
МОРТ.СВИН.БЕРЕТА,235,100 гр = 47.0,BERETTA,Да,235,,,,,Останато,KAM,2025-04-18
ЧАЕН КОЛБАС,526,,,Да,526,,,,,Месо и месни производи,KAM,2025-04-18
САЛАМА,125,100 гр = 83.3,WINDAU САЛАМА,Да,125,,,,,Месо и месни производи,KAM,2025-04-18
СУЏУК ДОМАШЕН,139,100 гр = 27.8,UKA СУЏУК,Да,139,,,,,Останато,KAM,2025-04-18
БРАШНО,30,,,Да,30,,,,,Останато,KAM,2025-04-18
БРАШНО ТИП 500 1,22,,,Да,22,,,,,Останато,KAM,2025-04-18
ОРЕВ ЧИСТЕН,72,100 гр = 48.0,SALUTI ОРЕВИ,Да,72,,,,,Производи за домаќинство,KAM,2025-04-18
ЛОСОС МЕТРО,293,100 гр = 48.8,METRO РИБА ЛОСОС,Да,293,,,,,Останато,KAM,2025-04-18
СКУША ФРЕШ 1КГ,209,,,Да,209,,,,,Останато,KAM,2025-04-18
КОЛБ.МИНИ,187,100 гр = 74.8,SNACKINS КОЛБАСИ,Да,187,,,,,Останато,KAM,2025-04-18
МОРТ.СВИН.,315,,,Да,315,,,,,Останато,KAM,2025-04-18
ПРШУТА,179,100 гр = 89.5,WINDAU ПРШУТА,Да,179,,,,,Месо и месни производи,KAM,2025-04-18
КОЛБАС ТЕНОК,169,100 гр = 84.5,ZLATIBORAC,Да,169,,,,,Месо и месни производи,KAM,2025-04-18
ЧАДЕН ПИЛЕШКИ,359,,,Да,359,,,,,Останато,KAM,2025-04-18
ПАВЛАКА,69,100 гр = 17.3,BI MILK ПАВЛАКА,Да,69,,,,,Млеко и млечни производи,KAM,2025-04-18
ТУНА ХЕПИ,65,100 гр = 37.1,HAPPY TUNA ТУНА,Да,65,,,,,Останато,KAM,2025-04-18
СУЏУК ДОМАШЕН,179,100 гр = 35.8,UKA СУЏУК,Да,179,,,,,Останато,KAM,2025-04-18
